block_number,tx_hash,log_index,user,amount_raw,amount_tokens
40828657,0xbe20cf45317f731d128f639678659eaacc88fa1f89a88ef2ad393261b221ac53,15,0x58dc08c19c5328c4d318e97f43e40dec483e0456,28002,0.028002
40829212,0x4b5fcf48ee5791dc909c4b10df7157400b14209ca7220ee2ccb73fc3ea080348,1667,0x0dc902e11a61822f110842fa3d0ec094486d780d,1189654,1.189654
40831008,0x673eb493fb68cb1f1105af731e8f976b70816e769760f8bebf82da8358d4b0d4,843,0xa10042a8b70673190b7bdf9306a5a685b2d0ccf2,8229,0.008229
40831047,0x3bc0ef5261fb9ffd81d922b5d1ebeb7a038d73d2f44d9dbda6a747e9109a3464,1123,0x482be3b82e8211e57f68aadd7d442a1d4c5356f0,138546,0.138546
40831067,0x9ed7f642a3ead28b099c9e95da87688ebf90b145ffd4abb780c3960608577411,985,0x1fd3aa01b50d88ae7037b6a4b91db1ac47efd88a,110008,0.110008
40831112,0x6558bf9fc24dfc1f17ad759c3b07ad18cb5ebfd9440a3c56fdef751383dca19e,1202,0x43830138aca491493de391411c7dea85dc75729f,137656,0.137656
40831144,0x5e7a5e962f1ef6a5ab3001d1e7f660314289d294100ff4045c4dc7d48b38e23b,277,0x8a3c72135f77bb21912022597bc407db00817ff1,1735901,1.735901
40831163,0x37873ac482d9acd71a82a951c8ceeb45c876396232c19d773aed1384c435ae5c,856,0x07af8d7effd528d747d8da4ddc3a0493bbf8fad5,110770,0.11077
40831192,0xfc722ba8eab96f3970ccd0ed41f4ab09966d0c74db3a09857e1e2439f51ff4ae,877,0x6e43bfbfa4ddc7f8a584162672e1f8d8415824dc,110422,0.110422
40831215,0x1352aadab733bbe12620e7502a8970d64d987928386be6facbab3b24c369a3fe,266,0x71c9d94ecc47cdca883ac75d9669062c8d5dfa83,110327,0.110327
40831221,0x4e0529d0e1feff645e0b8fc3e91503b09dd7ed43da6b14bccb93f3a6ee0dfdaf,307,0x88b2ead6336ffef914762a66e3f329f9af4a0335,124630,0.12463
40831304,0x584526a87f4a6413c9f01b8d3c29d87eec083ae809e551b71239d886f7ca5aac,796,0xd2576f3ff3d378b0102027cba73983b4f9565041,46952,0.046952
40831405,0x1d4b47fd2bd2ca40a0246c64e7f77fa17b42c5dcc597fd70f1bec7ed905d025f,909,0x7d5e897f0a3d1e847d11b57f021499e0bd531f1c,260059,0.260059
40831425,0xfa391dda1a2af2ab5350cf6768c8e580d4ea6065166ba618b313725c2e6c92b0,1074,0xe6c560f4fec8e4709247d77b1ed3672f8ed75403,547928,0.547928
